health,age,action,Dead,no AAA,<30 mm,30-35 mm,35-40 mm,40-45 mm,45-50 mm,50-55 mm,55-60 mm,60-65 mm,65-70 mm,70-75 mm,75-80 mm,> 80 mm,
Dead,30,surgery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
no AAA,30,surgery,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1
<30 mm,30,surgery,0.26,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1
30-35 mm,30,surgery,0.27,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1
35-40 mm,30,surgery,0.28,0.72,0,0,0,0,0,0,0,0,0,0,0,0,1
40-45 mm,30,surgery,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1
45-50 mm,30,surgery,0.32,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1
50-55 mm,30,surgery,0.34,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1
55-60 mm,30,surgery,0.36,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1
60-65 mm,30,surgery,0.38,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1
65-70 mm,30,surgery,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1
70-75 mm,30,surgery,0.42,0.58,0,0,0,0,0,0,0,0,0,0,0,0,1
75-80 mm,30,surgery,0.44,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1
> 80 mm,30,surgery,0.46,0.54,0,0,0,0,0,0,0,0,0,0,0,0,1
Dead,30,surveillance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
no AAA,30,surveillance,0.01,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1
<30 mm,30,surveillance,0.1,0.1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,1
30-35 mm,30,surveillance,0.11,0.09,0,0.59,0.21,0,0,0,0,0,0,0,0,0,1
35-40 mm,30,surveillance,0.12,0.08,0,0,0.58,0.22,0,0,0,0,0,0,0,0,1
40-45 mm,30,surveillance,0.13,0.07,0,0,0,0.57,0.23,0,0,0,0,0,0,0,1
45-50 mm,30,surveillance,0.14,0.06,0,0,0,0,0.56,0.24,0,0,0,0,0,0,1
50-55 mm,30,surveillance,0.15,0.05,0,0,0,0,0,0.55,0.25,0,0,0,0,0,1
55-60 mm,30,surveillance,0.16,0.04,0,0,0,0,0,0,0.54,0.26,0,0,0,0,1
60-65 mm,30,surveillance,0.17,0.03,0,0,0,0,0,0,0,0.54,0.26,0,0,0,1
65-70 mm,30,surveillance,0.18,0.02,0,0,0,0,0,0,0,0,0.54,0.26,0,0,1
70-75 mm,30,surveillance,0.19,0.01,0,0,0,0,0,0,0,0,0,0.54,0.26,0,1
75-80 mm,30,surveillance,0.2,0,0,0,0,0,0,0,0,0,0,0,0.54,0.26,1
> 80 mm,30,surveillance,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1
Dead,60,surgery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
no AAA,60,surgery,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1
<30 mm,60,surgery,0.31,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1
30-35 mm,60,surgery,0.32,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1
35-40 mm,60,surgery,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1
